"Date","X_00060_00003","X_99133_00003"
"01/01/16",6610,12.1
"01/02/16",6080,12.1
"01/03/16",5780,12.3
"01/04/16",5370,12.3
"01/05/16",5010,12.3
"01/06/16",4740,12.1
"01/07/16",4730,11.8
"01/08/16",4990,11.1
"01/09/16",5310,10.8
"01/10/16",4550,11.9
"01/11/16",3920,12.1
"01/12/16",3430,11.5
"01/13/16",3580,12.1
"01/14/16",3950,11.7
"01/15/16",4250,11.7
"01/16/16",3210,12.1
"01/17/16",1240,13
"01/18/16",1440,13.1
"01/19/16",1620,12.4
"01/20/16",1980,11.8
"01/21/16",2490,11.9
"01/22/16",3120,11.8
"01/23/16",3000,11.9
"01/24/16",2920,11.6
"01/25/16",2810,11.4
"01/26/16",2740,11.3
"01/27/16",2620,11.3
"01/28/16",2540,11.2
"01/29/16",2530,11.2
"01/30/16",2720,10.5
"01/31/16",3110,9.79
"02/01/16",3640,8.65
"02/02/16",3600,9.33
"02/03/16",3430,9.98
"02/04/16",2640,10.3
"02/05/16",2540,10.2
"02/06/16",2690,10.5
"02/07/16",2790,10.4
"02/08/16",2500,10.5
"02/09/16",1750,10.9
"02/10/16",1790,11.2
"02/11/16",1770,10.5
"02/12/16",1760,10.7
"02/13/16",1730,11.1
"02/14/16",1890,11.3
"02/15/16",2040,10.8
"02/16/16",2600,9.58
"02/17/16",3290,8.58
"02/18/16",3880,7.76
"02/19/16",9270,4.76
"02/20/16",13300,7
"02/21/16",13900,7.92
"02/22/16",14200,8.09
"02/23/16",14700,8.7
"02/24/16",14500,9.61
"02/25/16",12700,10.2
"02/26/16",10300,10.6
"02/27/16",8810,10.8
"02/28/16",8200,10.8
"02/29/16",8260,10.9
"03/01/16",7880,10.9
"03/02/16",7140,11
"03/03/16",6390,11
"03/04/16",5750,11
"03/05/16",5130,11
"03/06/16",4770,11.1
"03/07/16",4600,11
"03/08/16",4590,11.1
"03/09/16",4480,11.2
"03/10/16",4240,11.1
"03/11/16",3940,11.1
"03/12/16",3720,11
"03/13/16",3700,10.8
"03/14/16",3680,10.8
"03/15/16",3700,10.7
"03/16/16",3520,10.4
"03/17/16",3260,10.6
"03/18/16",2990,10.7
"03/19/16",2770,10.7
"03/20/16",2700,10.6
"03/21/16",2600,10.6
"03/22/16",2490,10.5
"03/23/16",2460,10.5
"03/24/16",2580,10.3
"03/25/16",2740,10.2
"03/26/16",3120,10.5
"03/27/16",3450,10.7
"03/28/16",3480,10.8
"03/29/16",3780,11.1
"03/30/16",4180,11.3
"03/31/16",4170,11.3
"04/01/16",3970,11.1
"04/02/16",4070,11.3
"04/03/16",5820,12.1
"04/04/16",6510,13
"04/05/16",5510,13
"04/06/16",4650,12.4
"04/07/16",4070,12
"04/08/16",3650,11.7
"04/09/16",3170,11.7
"04/10/16",2850,11.6
"04/11/16",2700,11.5
"04/12/16",2480,11.5
"04/13/16",2250,11.4
"04/14/16",2130,11.2
"04/15/16",2040,11.1
"04/16/16",1910,10.9
"04/17/16",1850,10.7
"04/18/16",1770,10.6
"04/19/16",1760,10.3
"04/20/16",1800,9.86
"04/21/16",2240,8.96
"04/22/16",3180,9.49
"04/23/16",4820,11.3
"04/24/16",4810,11.8
"04/25/16",4170,11.4
"04/26/16",3580,11.4
"04/27/16",3520,11
"04/28/16",5900,10
"04/29/16",7450,11.1
"04/30/16",10900,9.95
"05/01/16",16300,8.66
"05/02/16",15200,11.2
"05/03/16",15100,11.8
"05/04/16",15000,12.8
"05/05/16",14400,13.5
"05/06/16",12800,13.7
"05/07/16",9880,13.3
"05/08/16",8090,13.3
"05/09/16",7420,12.8
"05/10/16",9480,10.7
"05/11/16",10600,11.9
"05/12/16",10600,12.8
"05/13/16",10200,13.9
"05/14/16",8980,13.8
"05/15/16",7890,13.8
"05/16/16",7090,13.8
"05/17/16",6600,13.8
"05/18/16",6140,13.8
"05/19/16",5660,13.8
"05/20/16",5330,13.8
"05/21/16",4980,13.9
"05/22/16",4750,13.8
"05/23/16",4440,13.8
"05/24/16",4490,13.6
"05/25/16",6330,13
"05/26/16",7010,12.6
"05/27/16",9610,11.7
"05/28/16",8710,11.6
"05/29/16",7310,12
"05/30/16",6150,12.5
"05/31/16",5990,12.5
"06/01/16",5820,12
"06/02/16",5700,12.1
"06/03/16",5360,12.3
"06/04/16",5010,12.5
"06/05/16",4460,12.7
"06/06/16",3930,12.9
"06/07/16",3590,13
"06/08/16",3300,13.1
"06/09/16",3160,13.1
"06/10/16",3050,13
"06/11/16",2940,13
"06/12/16",2790,12.8
"06/13/16",2660,12.7
"06/14/16",2510,12.5
"06/15/16",2980,12.4
"06/16/16",3390,12.4
"06/17/16",3170,12.8
"06/18/16",2950,13
"06/19/16",2630,13.2
"06/20/16",2300,13.1
"06/21/16",2120,12.8
"06/22/16",1930,12.3
"06/23/16",1790,11.7
"06/24/16",1650,11.3
"06/25/16",1510,11.1
"06/26/16",1510,10.6
"06/27/16",1350,10.4
"06/28/16",1190,10.2
"06/29/16",1070,10
"06/30/16",1100,9.7
"07/01/16",1610,9.83
"07/02/16",1510,10.5
"07/03/16",1200,10
"07/04/16",1020,9.83
"07/05/16",955,9.68
"07/06/16",878,9.41
"07/07/16",1080,8.57
"07/08/16",1240,8.5
"07/09/16",1150,9
"07/10/16",924,8.74
"07/11/16",770,8.39
"07/12/16",991,7.68
"07/13/16",922,7.29
"07/14/16",828,7.16
"07/15/16",720,7.36
"07/16/16",644,7.15
"07/17/16",657,7.17
"07/18/16",971,7.31
"07/19/16",2610,6.2
"07/20/16",3630,6.93
"07/21/16",5360,7.52
"07/22/16",6710,8.47
"07/23/16",5690,9.33
"07/24/16",3820,9.14
"07/25/16",2750,9.14
"07/26/16",2140,8.98
"07/27/16",1720,8.56
"07/28/16",1410,8.04
"07/29/16",1210,7.52
"07/30/16",1090,7.14
"07/31/16",966,6.56
"08/01/16",891,6.17
"08/02/16",2030,4.6
"08/03/16",1830,5.85
"08/04/16",1470,6.68
"08/05/16",1100,6.74
"08/06/16",941,6.22
"08/07/16",747,5.71
"08/08/16",649,5.41
"08/09/16",589,4.98
"08/10/16",578,4.86
"08/11/16",571,4.76
"08/12/16",1840,4.91
"08/13/16",5290,6.4
"08/14/16",3930,6.54
"08/15/16",2630,6.85
"08/16/16",1990,6.55
"08/17/16",1610,5.85
"08/18/16",1290,5.54
"08/19/16",1060,5.23
"08/20/16",1100,5.07
"08/21/16",924,4.62
"08/22/16",927,4.75
"08/23/16",982,5.45
"08/24/16",953,5.7
"08/25/16",808,5.39
"08/26/16",671,5.21
"08/27/16",613,5.19
"08/28/16",610,5.07
"08/29/16",601,5.02
"08/30/16",630,4.87
"08/31/16",662,4.55
"09/01/16",530,4.43
"09/02/16",447,4.41
"09/03/16",426,4.19
"09/04/16",423,3.96
"09/05/16",426,4.09
"09/06/16",411,4.05
"09/07/16",427,3.99
"09/08/16",467,3.97
"09/09/16",497,3.76
"09/10/16",1480,3.65
"09/11/16",1630,3.51
"09/12/16",1590,4.54
"09/13/16",1590,5.21
"09/14/16",1430,5.52
"09/15/16",1110,5.61
"09/16/16",5500,3.19
"09/17/16",7660,4.15
"09/20/16",7890,6.41
"09/21/16",7500,6.33
"09/22/16",6680,6.31
"09/23/16",5540,6.38
"09/24/16",4400,6.44
"09/25/16",4760,5.91
"09/26/16",7100,6.15
"09/27/16",7240,7.61
"09/28/16",6690,8.68
"09/29/16",5630,8.77
"09/30/16",4530,8.89
"10/01/16",3890,8.84
"10/02/16",3500,8.69
"10/03/16",3180,8.47
"10/04/16",2900,8.46
"10/05/16",2780,8.49
"10/06/16",3730,8.21
"10/07/16",5870,9
