Date,X_00060_00003,X_99133_00003
3/3/16,1320,10.7
3/4/16,1250,10.6
3/5/16,1170,10.5
3/6/16,1130,10.4
3/7/16,1110,10.4
3/8/16,1120,10.6
3/9/16,1050,10.6
3/10/16,959,10.5
3/11/16,934,10.6
3/12/16,948,10.6
3/13/16,987,10.2
3/14/16,1020,10.3
3/15/16,1010,10.1
3/16/16,954,9.68
3/17/16,886,9.94
3/18/16,821,9.96
3/19/16,791,9.96
3/20/16,815,10
3/21/16,774,9.87
3/22/16,757,9.66
3/23/16,781,9.81
3/24/16,876,9.53
3/25/16,893,9.74
3/26/16,874,9.96
3/27/16,838,9.73
3/28/16,794,9.62
3/29/16,755,9.39
3/30/16,760,9.43
3/31/16,916,9.71
4/1/16,861,9.05
4/2/16,765,9.09
4/3/16,737,9.05
4/4/16,740,9.21
4/5/16,694,9.06
4/6/16,739,9.02
4/7/16,721,8.94
4/8/16,693,8.86
4/9/16,623,8.6
4/10/16,624,8.46
4/11/16,664,8.94
4/12/16,614,8.89
4/13/16,577,8.51
4/14/16,593,8.73
4/15/16,579,8.87
4/16/16,553,8.6
4/17/16,578,8.73
4/18/16,598,8.84
4/19/16,638,8.92
4/20/16,725,8.6
4/21/16,1100,8.12
4/22/16,1230,9.67
4/23/16,979,9.55
4/24/16,920,9.39
4/25/16,941,8.65
4/26/16,870,8.87
4/27/16,988,8.3
4/28/16,1990,8.3
4/29/16,2240,10.2
5/2/16,5020,10.6
5/3/16,3720,10.7
5/4/16,2970,11.4
5/5/16,2430,12.2
5/6/16,2100,12.3
5/7/16,1950,12.1
5/8/16,1730,12.4
5/9/16,1910,11.9
5/12/16,3090,12
5/13/16,2500,11.9
5/14/16,2290,12.1
5/15/16,1900,12.2
5/16/16,1730,12.3
5/17/16,1670,12.5
5/18/16,1560,12.2
5/19/16,1450,12.2
5/20/16,1380,12.7
5/21/16,1300,12.5
5/22/16,1230,12.1
5/23/16,1170,11.8
5/24/16,1350,11.9
5/25/16,1870,11.1
5/26/16,2560,9.41
5/27/16,4810,9.2
6/3/16,1440,12
6/4/16,1370,11.8
6/5/16,1290,11.4
6/6/16,1170,11.7
6/7/16,1100,11.6
6/8/16,1040,11.6
6/9/16,1040,11.6
6/10/16,1000,11.6
6/11/16,952,11.1
6/12/16,929,11.3
6/13/16,893,11.6
6/14/16,1000,11.9
6/15/16,1280,12.1
6/16/16,1210,12.2
6/17/16,966,11.9
6/18/16,901,11.8
6/19/16,817,11.5
6/20/16,793,11.3
6/21/16,774,11.1
6/22/16,742,10.7
6/23/16,742,10.5
6/24/16,695,10.2
6/25/16,643,9.65
6/26/16,678,9.39
6/28/16,580,9.66
6/29/16,582,9.6
6/30/16,678,9.39
7/1/16,1380,10.8
7/2/16,939,10.7
7/3/16,813,10.5
7/4/16,691,10.3
7/5/16,658,10.2
7/6/16,628,9.61
7/7/16,843,9.44
7/8/16,908,9.8
7/9/16,794,9.74
7/10/16,652,9.61
7/11/16,538,9.24
7/12/16,761,8.74
7/13/16,620,8.13
7/14/16,578,8.57
7/15/16,493,8.62
7/16/16,452,8.6
7/17/16,511,8.77
7/18/16,586,8.38
7/19/16,1000,8.53
7/20/16,974,8.24
7/21/16,824,8.95
7/22/16,615,8.96
7/23/16,530,8.48
7/24/16,508,8.43
7/25/16,470,8.14
7/27/16,391,7.4
7/28/16,351,7.27
7/29/16,362,7.24
7/30/16,353,7.19
7/31/16,325,6.95
8/1/16,484,6.69
8/2/16,1460,5.42
8/3/16,1180,7.35
8/4/16,762,7.31
8/5/16,619,7.37
8/6/16,533,7.19
8/7/16,465,6.97
8/8/16,400,6.9
8/9/16,370,6.83
8/10/16,371,6.86
8/11/16,370,6.84
8/12/16,1370,6.75
8/13/16,1970,6.93
8/14/16,1120,7.15
8/15/16,729,6.89
8/16/16,608,6.56
8/17/16,539,6.31
8/18/16,494,6.18
8/19/16,451,6.01
8/20/16,601,5.15
8/21/16,476,5.41
8/22/16,408,5.56
8/23/16,361,5.59
8/24/16,383,5.54
8/25/16,373,5.36
8/26/16,331,5.4
8/27/16,336,5.46
8/28/16,336,5.46
8/29/16,324,5.6
8/30/16,419,5.3
8/31/16,408,4.83
9/1/16,300,5.34
9/2/16,263,5.32
9/3/16,248,5.29
9/4/16,250,5.28
9/5/16,256,5.38
9/6/16,257,5.3
9/7/16,308,5.13
9/8/16,339,4.88
9/9/16,369,4.81
9/10/16,1150,3.78
9/11/16,524,4.13
9/12/16,372,4.13
9/13/16,377,4.61
9/14/16,387,4.58
9/15/16,341,4.63
9/16/16,4840,3.54
9/17/16,3420,5.14
9/18/16,1760,5.67
9/19/16,1300,6.28
9/20/16,1000,6.26
9/21/16,877,5.91
9/22/16,802,5.95
9/23/16,728,5.58
9/24/16,625,5.32
9/27/16,1480,7.06
9/28/16,1180,6.78
9/29/16,972,6.86
9/30/16,870,6.82
10/1/16,828,6.9
10/2/16,811,6.97
10/3/16,766,7.01
10/4/16,720,7.23
10/5/16,767,7.56
10/6/16,1540,7.82
10/7/16,1270,7.91
10/8/16,1250,8.49
10/9/16,1110,8.68
10/10/16,989,8.67
10/11/16,934,8.93
10/12/16,888,8.84
10/13/16,829,8.71
10/14/16,761,8.76
10/15/16,768,8.99
10/16/16,769,9.18
10/17/16,743,8.96
10/18/16,725,9.23
10/19/16,664,8.86
10/20/16,623,8.7
10/21/16,616,8.77
10/22/16,577,8.61
10/23/16,601,8.78
10/24/16,597,8.8
10/25/16,574,8.77
10/26/16,608,8.55
10/27/16,589,8.58
10/28/16,569,8.63
10/29/16,570,8.58
10/30/16,556,8.52
10/31/16,530,8.46
11/1/16,518,8.22
11/2/16,559,8.02
11/3/16,534,7.88
11/4/16,502,8.17
11/5/16,478,7.93
11/6/16,494,7.9
11/7/16,481,7.93
11/8/16,495,7.89
11/9/16,472,7.69
11/10/16,476,7.79
11/11/16,467,7.84
11/12/16,683,8.43
11/13/16,734,9.21
11/14/16,446,8.09
11/15/16,272,6.87
11/16/16,264,6.16
11/17/16,235,5.83
11/18/16,285,5.96
11/19/16,314,6.62
11/20/16,311,6.98
11/21/16,331,7.18
11/28/16,537,7.18
11/29/16,478,7.19
11/30/16,443,7.43
12/1/16,385,7.2
12/2/16,393,7.27
12/3/16,391,7.31
12/4/16,440,7.01
12/5/16,475,6.86
12/6/16,448,7.06
12/7/16,417,7.26
12/8/16,338,7.34
12/9/16,235,7.65
12/10/16,396,6.86
12/11/16,443,7.16
12/12/16,478,7.63
12/13/16,440,7.22
12/14/16,361,6.77
12/15/16,392,7.02
12/16/16,385,8.07
12/17/16,401,8.19
12/18/16,388,8.29
12/19/16,381,8.51
12/20/16,381,8.33
12/21/16,381,7.93
12/22/16,393,7.58
12/23/16,402,7.36
12/24/16,402,7.2
12/25/16,453,6.58
12/26/16,1030,6.33
12/27/16,897,8.67
12/28/16,565,8.19
12/29/16,543,7.9
12/30/16,433,7.67
12/31/16,403,7.46
1/1/17,410,7.59
1/2/17,377,7.59
1/3/17,362,7.39
1/4/17,333,7.83
1/5/17,285,8.63
1/6/17,300,8.23
1/7/17,319,8.42
1/8/17,319,8.88
1/9/17,319,8.76
1/10/17,326,8.23
1/11/17,326,7.72
1/12/17,317,7.85
1/13/17,290,8.01
1/14/17,290,7.74
1/15/17,331,7.56
1/16/17,552,6.38
1/17/17,667,4.77
1/18/17,720,5.42
1/19/17,685,6.23
1/20/17,871,6.63
1/21/17,1440,7.07
1/22/17,1320,8.36
1/23/17,987,7.35
1/24/17,738,6.47
1/25/17,634,6.05
1/26/17,611,5.95
1/27/17,551,6.21
1/28/17,477,6.32
1/29/17,493,6.46
1/30/17,496,6.59
1/31/17,576,6.39
2/1/17,643,6.31
2/2/17,624,6.9
2/3/17,430,6.8
2/4/17,460,6.61
2/5/17,499,6.63
2/6/17,541,6.79
2/7/17,552,6.64
2/8/17,551,6.26
2/9/17,351,6.59
2/10/17,374,6.5
2/11/17,765,5.86
2/12/17,724,5.99
2/13/17,622,6.2
2/14/17,523,6.22
2/15/17,494,6.48
2/16/17,403,6.27
2/17/17,468,6.43
2/18/17,487,6.55
2/19/17,469,6.52
2/20/17,532,6.2
2/21/17,812,6.34
2/22/17,799,7.03
2/23/17,749,7.05
2/24/17,780,6.68
2/25/17,735,6.52
2/26/17,687,6.49
2/27/17,730,6.69
2/28/17,784,6.82
3/1/17,869,6.78
3/2/17,878,6.8
3/3/17,850,6.89
3/4/17,820,7.02
3/5/17,789,7.03
3/6/17,747,7.04
3/7/17,888,7.07
3/8/17,833,7.28
3/9/17,693,7.24
3/10/17,671,7.54
3/11/17,620,7.86
3/12/17,572,7.67
3/13/17,613,7.6
3/14/17,571,7.8
3/15/17,566,8.1
3/16/17,544,7.8
3/17/17,589,8
3/18/17,585,7.8
3/19/17,570,7.8
3/20/17,560,7.5
3/21/17,562,7.5
3/22/17,538,7.4
3/23/17,509,7.3
3/24/17,536,7.4
3/25/17,809,7.3
3/26/17,1260,7.2
3/27/17,1150,8
3/28/17,1040,8.2
3/29/17,1290,7.6
3/30/17,3640,7
3/31/17,3000,8.8
4/1/17,2320,9.1
4/2/17,1790,9
4/3/17,2240,8.8
4/4/17,2340,8.7
4/5/17,1930,9.7
4/6/17,1670,10
4/7/17,1420,10.3
4/8/17,1340,10.1
4/9/17,1270,10
4/10/17,1160,9.9
4/11/17,1050,10
4/12/17,954,9.7
4/13/17,936,9.7
4/14/17,1220,9
4/19/17,1110,9.2
4/20/17,1120,9.2
4/21/17,1520,10
4/22/17,1170,9.8
4/23/17,1090,9.6
4/24/17,1030,9.4
4/25/17,990,9.4
4/26/17,951,9.4
4/27/17,862,9.2
4/28/17,889,9
4/29/17,994,8.7
4/30/17,1300,8.4
5/1/17,3900,8
5/2/17,3410,10.1
5/3/17,2490,10.2
5/4/17,2080,10.1
5/5/17,1880,10.4
5/6/17,1800,11.1
5/7/17,1690,11.3
5/8/17,1540,11
5/9/17,1160,9
5/10/17,2050,9.6
5/11/17,3140,10.2
5/12/17,2440,11.3
5/13/17,1970,11.1
5/14/17,1760,11
5/15/17,1630,10.9
5/16/17,1480,10.7
5/17/17,2170,10.3
5/18/17,2410,10.8
5/19/17,3310,10.2
5/20/17,5380,9.1
5/21/17,5520,10.5
5/22/17,3850,11.7
5/23/17,3190,11.6
5/24/17,2700,12
5/25/17,2360,12.3
5/26/17,2090,12.7
5/27/17,2050,12.8
5/28/17,2140,11.8
5/29/17,1750,12.7
5/30/17,1550,12.9
5/31/17,1410,13
6/1/17,1320,12.9
6/2/17,1270,12.8
6/3/17,1210,12.8
6/4/17,1120,12.6
6/5/17,1060,12.4
6/6/17,989,12.3
6/7/17,935,12.2
6/8/17,918,12.2
6/9/17,878,12.2
6/10/17,822,12.1
6/11/17,798,12.2
6/12/17,739,12
6/13/17,741,12
6/14/17,1140,11.4
6/15/17,1110,11.4
6/16/17,831,11.6
6/17/17,794,11.8
6/18/17,753,11.8
6/19/17,696,11.8
6/20/17,612,11.5
6/21/17,607,11.3
6/22/17,610,11.1
6/23/17,597,10.9
6/24/17,573,10.7
6/25/17,522,10.5
6/26/17,470,10.3
6/27/17,504,10.1
6/28/17,539,9.8
6/29/17,522,9.7
6/30/17,494,9.4
7/1/17,432,7.8
7/2/17,438,6.1
7/3/17,430,9.6
7/4/17,483,9.2
7/5/17,493,7.5
7/6/17,460,7.5
7/7/17,393,8.9
7/8/17,350,8.7
7/9/17,355,8.6
7/11/17,411,7.8
7/12/17,391,7.9
7/13/17,284,7.3
7/14/17,374,7.5
7/15/17,312,7.6
7/16/17,260,7.3
7/17/17,262,6.8
7/18/17,245,6.7
7/19/17,255,6.7
7/20/17,247,6.3
7/21/17,261,6.4
7/22/17,469,7.7
7/23/17,291,7.1
7/24/17,203,6.2
7/25/17,205,6
7/26/17,190,5.8
7/27/17,262,5.9
7/28/17,227,5.9
7/29/17,220,5.9
7/30/17,204,5.7
7/31/17,188,5.5
8/2/17,145,4.8
8/3/17,219,4.1
8/4/17,331,4.2
8/5/17,253,5.1
8/6/17,222,5.2
8/7/17,207,5.1
8/8/17,172,4.8
8/11/17,165,3.9
8/12/17,152,3.7
8/13/17,152,3.7
8/14/17,151,3.6
8/15/17,180,3.4
8/16/17,222,3.2
8/17/17,236,3.3
8/18/17,202,3.6
8/19/17,186,3.8
8/20/17,319,3.4
8/21/17,3150,2.8
8/22/17,967,2.5
8/23/17,433,2.6
8/24/17,327,2.9
8/25/17,278,2.9
8/26/17,242,3
8/27/17,227,3
8/28/17,232,3
8/29/17,215,2.8
8/30/17,196,2.8
8/31/17,188,2.7
9/1/17,173,2.6
9/2/17,166,2.1
9/3/17,164,1.6
9/5/17,156,2.1
9/6/17,144,2
9/7/17,143,2.2
9/8/17,147,2.2
9/9/17,135,1.9
9/10/17,141,1.7
9/11/17,136,1.6
9/12/17,141,1.4
9/13/17,138,1.7
9/14/17,141,1.5
9/15/17,133,1.5
9/16/17,135,1.4
9/17/17,197,1.3
9/18/17,204,1.1
9/19/17,220,1.3
9/20/17,186,1.6
9/21/17,184,1.6
9/23/17,160,1.6
9/24/17,149,1.4
9/25/17,159,1.2
9/26/17,263,1.2
9/27/17,230,1.3
9/28/17,190,1.3
9/29/17,169,1.4
9/30/17,162,1.3
10/1/17,149,1.1
10/2/17,169,0.7
10/3/17,222,0.6
10/4/17,202,0.7
10/5/17,196,0.8
10/6/17,226,0.9
10/7/17,1010,0.9
10/8/17,1600,1.4
10/9/17,769,1.2
10/10/17,717,1.8
10/11/17,986,1.8
10/12/17,701,1.9
10/13/17,522,2.3
10/14/17,651,2.3
10/15/17,904,2.1
10/16/17,599,2.3
10/17/17,489,2.7
10/18/17,458,2.8
10/19/17,426,2.8
10/20/17,373,2.9
10/21/17,379,2.8
10/22/17,470,2.7
10/23/17,459,2.7
10/24/17,389,2.6
10/25/17,347,2.7
10/26/17,311,2.9
10/27/17,304,2.9
10/28/17,299,2.9
10/29/17,289,3
10/30/17,309,2.9
10/31/17,287,2.9
11/1/17,288,3
11/2/17,290,3.1
11/3/17,287,3
11/4/17,276,3
11/5/17,284,2.9
11/6/17,272,2.9
11/7/17,270,2.9
11/8/17,252,3
11/9/17,261,3
11/10/17,244,3
11/11/17,232,3.2
11/12/17,259,3.3
11/13/17,258,3.2
11/14/17,238,3.2
11/15/17,252,3.1
11/17/17,250,2.9
11/18/17,261,3
11/19/17,281,2.8
11/20/17,254,2.9
11/21/17,217,3
11/22/17,205,3
11/23/17,215,3.1
11/24/17,236,3.1
11/25/17,217,3.1
11/26/17,209,3.1
11/27/17,218,3
11/28/17,228,3
11/29/17,217,3
11/30/17,190,3.1
12/1/17,201,3.1
12/2/17,211,3.2
12/3/17,217,3.2
12/4/17,224,3.3
12/5/17,197,3.3
12/6/17,196,3.3
12/7/17,165,3.4
12/8/17,148,3.4
12/9/17,212,3.7
12/10/17,202,3.9
12/11/17,209,4.2
12/12/17,203,4.1
12/13/17,206,4
12/14/17,266,3.9
12/15/17,213,4.4
12/16/17,187,4
12/17/17,193,4
12/18/17,197,3.7
12/19/17,206,3.7
12/20/17,204,3.7
12/21/17,179,3.8
12/22/17,182,3.8
12/23/17,138,3.8
12/24/17,166,3.8
12/25/17,162,4
12/26/17,156,4.1
12/27/17,158,4.8
12/28/17,178,5.2
12/29/17,182,5.2
12/30/17,182,4.7
12/31/17,181,4.4
1/1/18,170,4.4
1/2/18,166,4.5
1/3/18,169,4.5
1/4/18,166,4.4
1/5/18,170,4.4
1/6/18,168,4.4
1/7/18,147,4.5
1/8/18,130,4.6
1/9/18,126,4.4
1/10/18,158,4.2
1/11/18,173,4.1
1/12/18,170,4.4
1/13/18,162,4.5
1/14/18,154,4.7
1/15/18,153,4.8
1/16/18,153,4.6
1/17/18,153,4.7
1/18/18,155,4.7
1/19/18,157,4.6
1/20/18,159,4.3
1/21/18,157,4.2
1/22/18,154,3.7
1/23/18,150,3.8
1/24/18,152,4.1
1/25/18,153,4.5
1/26/18,162,4.4
1/27/18,180,4
1/28/18,180,4
1/29/18,163,4.3
1/30/18,164,4.2
1/31/18,175,4.1
2/1/18,180,4.2
2/2/18,167,4.4
2/3/18,159,4.1
2/4/18,159,4.4
2/5/18,149,4.7
2/6/18,159,4.6
2/7/18,172,4.5
2/8/18,176,4.5
2/9/18,177,4.3
2/10/18,167,4.4
2/11/18,161,4.3
2/12/18,160,4.4
2/13/18,152,4.3
2/14/18,156,4.4
2/15/18,139,4.2
2/16/18,152,4
2/17/18,166,4.3
2/18/18,169,4.5
2/19/18,181,3.9
2/20/18,148,4.1
2/21/18,127,4.5
2/22/18,148,4.2
2/23/18,165,3.9
2/24/18,166,3.9
2/25/18,183,3.9
2/26/18,786,3.7
2/27/18,1650,4
2/28/18,1630,4.3
3/1/18,1100,4.3
3/2/18,608,3.8
3/3/18,503,3.6
3/4/18,517,3.4
3/5/18,517,3.3
3/6/18,490,3.3
3/7/18,411,3.3
3/8/18,299,3.3
3/9/18,315,3.3
3/10/18,316,3.5
3/11/18,329,3.6
3/12/18,306,3.5
3/13/18,299,3.5
3/14/18,279,3.5
3/15/18,265,3.4
3/16/18,283,3.3
3/17/18,378,3.1
3/18/18,474,3
3/19/18,566,3.4
3/20/18,544,3.8
3/21/18,484,3.8
3/22/18,431,3.7
3/23/18,428,3.4
3/24/18,573,3.1
3/25/18,788,3.2
3/26/18,859,3.6
3/27/18,977,3.8
3/28/18,806,4.2
3/29/18,754,4.2
3/30/18,661,4.2
3/31/18,595,4.2
4/1/18,549,4.3
4/2/18,470,4.2
4/3/18,480,4.3
4/4/18,445,4.4
4/5/18,433,4.3
4/6/18,435,4.7
4/7/18,389,5.2
4/8/18,360,5.1
4/9/18,391,5.2
4/10/18,393,4.8
4/11/18,381,4.3
4/12/18,391,4.4
4/13/18,393,4.3
4/14/18,853,4.3
4/15/18,1300,5.3
4/16/18,1010,6.5
4/17/18,924,6.5
4/18/18,879,6.3
4/19/18,858,6.4
4/20/18,792,6.3
4/21/18,778,6.2
4/22/18,753,6.3
4/23/18,686,6.2
4/24/18,605,6
4/25/18,604,5.9
4/26/18,572,5.9
4/27/18,537,5.8
4/28/18,529,5.8
4/29/18,512,5.7
4/30/18,497,5.9
5/1/18,559,5.7
5/2/18,1650,6
5/3/18,2970,6.6
5/4/18,3490,6.3
5/7/18,1420,8.2
5/8/18,1200,8.3
5/9/18,1110,8.6
5/10/18,972,8.7
5/11/18,850,8.6
5/12/18,1310,7.1
5/13/18,2340,7.2
5/14/18,2130,7.5
5/15/18,1360,7.8
5/16/18,1110,7.9
5/17/18,981,7.9
5/18/18,907,7.9
5/19/18,840,7.9
